TeamNames,Year,Seed,Sweet Sixteen,Placement,ADJOE,ADJDE,efg%,efgd%,tor,tord,orb,drb,ftr,ftrd,2p%,2pd%,3p%,3pd%,adjt,wab,AdjEM-KP,AdjO-KP,AdjD-KP,AdjT-KP,Luck-KP,AdjEM-SOS-KP,AdjO-SOS-KP,AdjD-SOS-KP,AdjEM-NCSOS-KP
Kansas,2008,1,1,CHAMPS,121.4,85.5,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31,55.4,41.2,39.7,32.8,68.6,9.9,35.21,120.9,85.7,66.8,0.012,9.57,109.2,99.6,-1.41
Memphis,2008,1,1,Finals,117,86.1,52.7,43.4,16.6,22.5,37.8,29.6,40.4,31.7,52.9,42.6,34.9,30.2,70.2,8.9,31.51,118,86.5,68.1,0.012,5.83,107,101.1,5.45
UCLA,2008,1,1,Final Four,116.2,86.8,52.2,46.5,19.1,21.8,39.2,27.2,37.3,25.6,52.4,45.4,34.4,32.9,66.1,10.8,29.94,118,88.1,64.1,0.047,10.03,109.3,99.3,-1.63
North Carolina,2008,1,1,Final Four,122.9,91.9,53,48.2,18.8,21.1,42.5,29,38,25.7,52.1,47.8,37.2,32.6,74.7,11.9,30.22,122.1,91.9,72.5,0.05,10.18,108,97.8,1.5
Wisconsin,2008,3,1,Sweet Sixteen,112.6,85.4,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,49.3,41.7,35.6,31.3,63.1,8.3,26.68,113.5,86.8,61.1,0.043,7.35,107.1,99.8,-0.19
Louisville,2008,3,1,Elite Eight,112.1,86.5,53.1,44.1,20.2,21.7,33.4,30.9,36.5,33.5,53.5,43.1,35,30.5,67.2,4.7,25.41,113.1,87.7,65.3,-0.057,9.34,108.4,99,0.79
Duke,2008,2,0,R32,115.8,89.9,53.6,47.6,18.3,24.7,33.9,33.7,40.9,31.9,51.7,47,37.7,32.9,73.5,8.9,26.4,116.3,89.9,71.5,-0.006,10.06,109.1,99,3.36
Texas,2008,2,1,Elite Eight,120.6,93.8,51.5,45.7,14.2,17.9,36.3,33.6,32,31,48.5,43.2,38,33.2,64.7,8.4,25.09,120.6,95.5,63.9,0.044,10.37,108.4,98,0.04
Georgetown,2008,2,0,R32,113,87.9,56.7,41.9,21.3,19.8,33.1,32.7,34,36,56.2,40.5,38.4,29.6,62.9,7.7,25.56,115.2,89.7,60.5,0.029,8.48,108.2,99.8,-2.72
Washington St.,2008,4,1,Sweet Sixteen,113.4,89.8,53.7,46.7,17,21.9,27.8,29.8,38.5,28.4,53,45.3,36.8,33.1,60,4.9,24.32,115.1,90.8,58.3,-0.004,8.99,109,100,-6.51
Stanford,2008,3,1,Sweet Sixteen,112.8,89.8,49.8,44.3,18.8,17.7,39.1,29.2,39.6,32.8,48,42.1,36.6,33.3,65.1,6.7,22.75,113.6,90.9,63.4,0.04,9.32,109.1,99.7,-6.32
Marquette,2008,6,0,R32,114.1,91.1,50.6,46.3,18.7,23.9,38.2,33.4,37.5,41,49,46.7,35.8,30.4,68.6,3.8,22.16,115.3,93.1,66.6,-0.027,8.62,107.9,99.3,-6.37
Clemson,2008,5,0,R64,113.2,90.4,51.9,48.1,20.3,24.6,39.8,36.4,30.6,33.8,49.7,49,37.5,30.4,69.6,4.4,22.03,114,91.9,68,-0.044,9.53,109.3,99.8,0.31
Tennessee,2008,2,1,Sweet Sixteen,114.6,91.6,52.4,49.1,18.2,24.7,36.2,34.6,38,39.6,51.5,50.3,35.8,31.2,72.8,9.2,22.17,116.2,94,70.7,0.11,9.58,109.4,99.8,7.64
Davidson,2008,10,1,Elite Eight,114.7,91.7,54.1,49.3,17.3,24.3,32.4,28.5,26.3,37.3,54.1,47,36.1,35.5,68.4,1.5,23.61,117,93.4,66.2,-0.036,3.36,105.2,101.8,14.93
Michigan St.,2008,5,1,Sweet Sixteen,114.7,92.7,52.6,46,21.1,18.9,39.5,31.6,33.5,33.1,51.6,45.6,37.1,31.1,65.3,5.1,21.15,115.8,94.7,63.3,0.032,8.71,108.2,99.5,0.59
Xavier,2008,3,1,Elite Eight,115.5,93.4,54.6,47.1,19.8,19.6,35.8,30.1,42.4,31.4,52.2,45.2,39.1,33.6,65.8,4.7,22.05,117.3,95.2,63.8,0.054,6.94,108.1,101.2,3.5
Texas A&M,2008,9,0,R32,112.1,91.1,52,44.9,19.2,17.4,35,28.1,41.8,26.7,51.2,42.2,35.7,33.8,63.8,3.1,19.93,112.3,92.3,61.8,0.004,8.28,107.4,99.1,-5.13
West Virginia,2008,7,1,Sweet Sixteen,113.8,92.7,51.4,48,16.4,22.8,34.4,31.2,36.6,39.7,50.1,45.2,36,35.8,65.6,2.6,21.29,114.6,93.3,63.8,-0.019,9,108.5,99.5,-1.98
Kansas St.,2008,11,0,R32,114.5,93.5,49.5,48.3,20.8,22.2,42.3,30.3,37.4,38.3,50.2,44.9,32,37.2,71.8,1,18.9,114.2,95.3,69.7,-0.049,9.09,108,98.9,-2.73
Drake,2008,5,0,R64,119.3,97.7,52.6,50.4,18,24.1,36.7,33.1,35.2,23.9,50.5,49.5,36.7,34.5,64.4,5.2,21.46,120,98.5,62.9,0.011,4.89,105.5,100.6,0.11
Purdue,2008,6,0,R32,110.1,90.5,49.1,49.1,19.1,26,33.1,30.9,37.1,42.6,45.3,47.6,37.3,34.8,68.5,3.8,18.3,110.5,92.2,66.9,-0.025,6.41,106.2,99.7,-3.61
Pittsburgh,2008,4,0,R32,116.2,95.9,50.8,47.9,18.2,20.9,39.3,33.9,36.1,28.6,50.8,46.8,33.8,33.4,65.3,5.3,19.91,116.5,96.6,63.9,0.027,9.52,107.8,98.3,-1.69
Connecticut,2008,4,0,R64,114.9,95,50.6,44.2,19.4,17.3,39.5,34.2,48.1,23.5,49.5,40.5,36.1,34.8,69,4.3,18.9,115.2,96.3,67.1,-0.001,7.67,107.7,100,-1.27
Arizona,2008,10,0,R64,115.5,95.5,53.9,48.7,18.6,19,27.8,33.4,40.4,30.4,51.2,47.5,39.6,34.5,65.3,1.5,19.14,116.4,97.3,63.5,-0.079,12.72,110.3,97.6,8.75
Gonzaga,2008,7,0,R64,112.6,93.3,54.5,45.7,20.7,21.6,34.6,29.7,39.7,32.1,53.7,43.8,37.5,32.7,68.4,2.1,19.05,114.5,95.5,65.9,-0.029,2.57,104,101.5,7.71
Notre Dame,2008,5,0,R32,114.6,95.1,52.2,46.6,18.3,17.5,36.2,30.7,34,23,47.8,44.8,40.5,33.5,70.5,4.4,19.07,114.6,95.6,69.5,0.042,6.88,107.5,100.6,-7.02
Butler,2008,7,0,R32,114.2,94.9,54.1,48,16.9,22.9,29.8,32.2,36.7,32.6,51.3,48.2,38,31.8,61.2,4.7,19.97,116.2,96.2,59.5,0.002,2.79,104.3,101.5,5.43
USC,2008,6,0,R64,109.4,90.8,53.3,44.8,21.9,20,31.1,35,38.7,27.9,51.5,44.1,38.7,30.7,67.4,3.6,18.67,110.5,91.9,65.2,-0.005,11.18,109.7,98.5,0.4
Indiana,2008,8,0,R64,114.1,94.9,52.3,47.3,20,19.8,36.1,29.1,41.9,31,52.3,45.1,34.9,34.1,68.4,4.8,18.43,114.6,96.1,66.2,0.037,6.28,106.6,100.3,-2.3
New Mexico,2008,17,0,NoTourney,109.6,91.6,54.1,47.8,18.1,24,31.1,27.4,40.2,41.3,49.2,45.7,42,33.9,66.2,0.1,17.08,111.1,94,64.4,-0.046,1.13,104,102.9,-3.87
Ohio St.,2008,17,0,NoTourney,108.6,91,52.5,45.4,20.4,21.4,33.3,35.6,28.2,22.1,53.6,43.6,33.7,32,65.9,0.4,17.79,110.2,92.4,64,-0.027,8.35,108.6,100.3,4.38
Virginia Tech,2008,17,0,NoTourney,105.4,88.5,48.8,46.5,20.9,21.5,34.6,29,39,33.7,48,44.1,33.7,34.1,67.6,-0.6,16.29,107.1,90.8,65.8,-0.048,7.41,107.9,100.5,-0.09
Mississippi St.,2008,8,0,R32,107.8,91.1,52.2,42.5,21.4,17.8,34.7,32.7,39,28,53.3,39.8,33.4,31.7,68.5,0.6,16.77,108.2,91.5,66.6,-0.043,6.22,108.1,101.8,-1.48
BYU,2008,8,0,R64,105.9,90,53.2,43.2,19.5,19.1,30.6,26.4,37.3,30.5,51.6,42.8,37.3,29.5,70.2,2.5,15.76,107.4,91.7,67.8,0.027,1.47,104.2,102.7,-4.23
Nebraska,2008,17,0,NoTourney,107.1,91.1,51.2,47.3,20.6,23.9,32.1,30,38.6,32,51.1,42.6,34.2,36.4,63.2,-0.2,15.31,108,92.7,61.6,-0.042,6.19,106.4,100.2,-12.71
Miami FL,2008,7,0,R32,111.5,95.1,49.2,47,19,20.6,35.1,34,39.2,35.4,45.7,43.7,37.9,35.6,67.7,1.6,15.38,112.5,97.1,65.8,-0.003,7.78,106.7,98.9,-5.55
Arkansas,2008,9,0,R32,110.8,94.5,51.9,48.4,21.8,21.2,37.6,31.9,37.9,35.6,52.3,47.4,34.1,33.5,68.6,0.5,15.19,111.4,96.2,66.5,0.008,7.19,108.4,101.2,-0.61
Florida,2008,17,0,NoTourney,115.3,98.9,55.3,50,18.6,19.8,35.6,30,31.2,29.1,55.7,49.5,36.3,34,66.5,-1.3,15.37,115.9,100.5,65,-0.042,3.13,105.1,102,-9.31
Baylor,2008,11,0,R64,115.9,99.6,51.9,48.3,17.2,19.4,32,32.9,35.9,39.5,49.6,46.5,37.3,35.1,71.7,1.5,14.82,115.7,100.9,70.1,-0.028,7.58,106.9,99.3,-4.83
Oregon,2008,9,0,R64,118,101.5,55.8,50.3,18.4,16.4,32,31,36.7,34.3,53.8,50.4,39.2,33.4,68,0.8,15.66,118.8,103.1,65.8,-0.035,10.56,108.9,98.4,0.11
Illinois,2008,17,0,NoTourney,106,91.3,48.8,45.8,21.5,20.3,37,29.9,36.5,37.2,49.2,43.3,31.9,33.5,63.3,-4,13.47,107.5,94,61,-0.119,9.61,108.4,98.8,3.4
Syracuse,2008,17,0,NoTourney,111.8,96.6,52.7,49.2,21.8,20,39,32.6,42,29.5,53.3,46.8,34.1,35.4,71.9,-0.6,14.12,112.6,98.4,69.9,-0.026,7.96,107.8,99.9,2.25
UNLV,2008,8,0,R32,108.8,94,48.6,46.3,16.2,21.6,29.1,32.3,33.3,32.4,47.8,47,33.2,30.1,66.2,2.2,13.71,110.2,96.5,63.9,0.081,3.1,104.3,101.2,-0.86
Saint Mary's,2008,10,0,R64,107.4,93,52.4,44.8,18.9,20.9,35.5,31.4,39,30.7,51.6,44.1,35.8,31.3,68.4,1.2,14.66,109.2,94.6,66.4,0.03,0.11,103.4,103.3,2.34
Villanova,2008,12,1,Sweet Sixteen,107.9,93.5,49.1,51.1,20.5,23.6,36.2,31,38.9,46.4,47.8,48.6,34.4,36.5,69.4,0.3,14.21,109.2,95,68.1,0.037,9.14,108.9,99.8,-2.4
Oklahoma,2008,6,0,R32,107.4,93.3,50.1,47,19.7,20.2,33.4,30.2,38.7,30.3,49,46,34.8,32.6,65.1,2.8,14.47,109.5,95.1,63.1,0.077,9.45,108.3,98.9,-0.55
Western Kentucky,2008,12,1,Sweet Sixteen,109.6,95.6,53.6,47.2,20.2,24.9,36.7,33.4,36,48.8,51.1,46.2,39,32.9,69.6,0.2,14.6,111.9,97.3,68.2,-0.021,-0.85,103.3,104.2,1.69
Saint Joseph's,2008,11,0,R64,113.8,99.3,54.6,50.6,19.3,21.5,32.5,34,39.7,33.3,52.8,47.7,38.6,37,65.4,-1.2,14.32,115.1,100.8,64,-0.069,5.81,106.9,101.1,1.34
Missouri,2008,17,0,NoTourney,111.3,97.2,50.7,48.8,17.7,23.1,31.5,34.9,30.8,42.9,51,49.8,33.4,30.9,72.5,-2.7,13.04,113.3,100.2,69.3,-0.105,8.57,107.1,98.6,-0.9
Mississippi,2008,17,0,NoTourney,113,98.8,52,49.5,18.6,19.6,39.1,31.1,30,34.3,50.4,48.2,36.7,34.4,71.3,0.1,13.49,114.2,100.7,69.3,0.01,5.66,106.7,101,-2.47
Georgia Tech,2008,17,0,NoTourney,113.2,99,52.9,51.2,21.1,22.4,34.1,35.5,38.3,48.7,51.5,51.5,37.2,33.8,70.5,-2.3,13.1,114.5,101.4,68.6,-0.077,11.47,109.5,98,6.56
Florida St.,2008,17,0,NoTourney,107.3,93.9,50.4,49.3,21.9,22.6,33.5,33.8,35.9,34.6,49.2,48,35.2,34.6,67.5,-0.4,12.26,108.7,96.4,64.8,-0.035,8.51,108.4,99.9,-1.4
Vanderbilt,2008,4,0,R64,111.4,97.8,54.1,49.7,19.8,20.5,31,33.5,38.3,32,50.6,48.3,39.9,35,70.4,3.8,12.65,112.3,99.6,68.2,0.11,5.2,107.4,102.2,-1.7
Arizona St.,2008,17,0,NoTourney,108.3,95.1,53.7,48.4,20.2,21.6,28.5,32.2,40.1,32.1,54.1,45.3,35.5,35.1,62.6,0.8,13.62,110.2,96.6,61.2,0.01,6.79,107.4,100.6,-9.79
Maryland,2008,17,0,NoTourney,107,94.2,50.9,44.4,23.4,19.7,35,34.9,37.5,30.9,50.9,42.6,33.8,32.4,71.1,-2.2,11.99,107.1,95.1,69.9,-0.044,7.39,106.6,99.2,-2.75
Massachusetts,2008,17,0,NoTourney,109.2,96.1,51.4,47.6,17.7,19.9,31.7,33.9,38.6,37.9,49.9,46.1,35.6,34.1,76.2,-0.8,13.1,110.5,97.3,74.6,0.005,5.26,107.3,102,0.21
Illinois St.,2008,17,0,NoTourney,104.6,92.4,52.2,46.3,20,22.2,31.2,31.2,33.9,35.5,50.1,45.2,37.1,32.2,64.5,0.6,12.37,106.2,93.9,62.5,0.043,4.12,106.5,102.4,-1.52
Southern Illinois,2008,17,0,NoTourney,104.1,91.9,48.4,49.2,22.2,24.6,33.4,28.7,40.7,48.8,47,47.3,34,34.7,62.8,-3.2,12.04,105.7,93.7,61.1,-0.033,7.38,107.4,100,8.06
Kent St.,2008,9,0,R64,105.9,93.7,52.5,46.6,21.8,24.2,35.7,35.6,41.1,37.8,50.9,46,37.3,31.7,66.6,2.3,13.04,107.8,94.8,65.1,0.075,1.03,103.5,102.5,-0.11
